MB, MB, MB, MB, MB, MB, MB, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MB, MB, MB, MB, MB, MB, MB, MB, MB, MA, MA, MA, MA, MA, MA, MA, MA, MA, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MA, MA, MA, MA, MA, MA, MA
MB, MB, MB, MB, MB, MB, MB, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MB, MB, MB, MB, MB, MB, MB, MB, MB, MA, MA, MA, MA, MA, MA, MA, MA, MA, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MA, MA, MA, MA, MA, MA, MA
MA, MA, MA, MA, MA, MA, MA, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MA, MA, MA, MA, MA, MA, MA, MA, MA, MB, MB, MB, MB, MB, MB, MB, MB, MB, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MB, MB, MB, MB, MB, MB, MB
MA, MA, MA, MA, MA, MA, MA, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MC, MA, MA, MA, MA, MA, MA, MA, MA, MA, MB, MB, MB, MB, MB, MB, MB, MB, MB, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MD, MB, MB, MB, MB, MB, MB, MB

R0, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, MY
R0, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, MY
R0, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, MY
R0, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, R0, MY, MY, R0, MY, R0, MY, R0, MY


